Date,Daily new confirmed cases,Total confirmed cases,Daily new deaths,Total deaths,Daily new recovered,Total recovered,Daily New Tests,Total Tests,Active Cases
3/8/2020,3,3,0,0,0,0,9,120,3
3/9/2020,0,3,0,0,0,0,7,127,3
3/10/2020,0,3,0,0,0,0,10,137,3
3/11/2020,0,3,0,0,2,2,10,147,1
3/12/2020,0,3,0,0,0,2,16,163,1
3/13/2020,0,3,0,0,0,2,24,187,1
3/14/2020,0,3,0,0,0,2,24,211,1
3/15/2020,2,5,0,0,0,2,30,241,3
3/16/2020,3,8,0,0,1,3,27,268,5
3/17/2020,2,10,0,0,0,3,49,317,7
3/18/2020,4,14,1,1,0,3,10,327,10
3/19/2020,3,17,0,1,0,3,46,373,13
3/20/2020,3,20,0,1,0,3,36,409,16
3/21/2020,4,24,1,2,0,3,90,499,19
3/22/2020,3,27,0,2,2,5,65,564,20
3/23/2020,6,33,1,3,0,5,56,620,25
3/24/2020,6,39,1,4,0,5,92,712,30
3/25/2020,0,39,1,5,0,5,82,794,29
3/26/2020,5,44,0,5,6,11,126,920,28
3/27/2020,4,48,0,5,0,11,106,1026,32
3/28/2020,0,48,0,5,4,15,50,1076,28
3/29/2020,0,48,0,5,0,15,109,1185,28
3/30/2020,1,49,0,5,4,19,153,1338,25
3/31/2020,2,51,0,5,6,25,264,1602,21
4/1/2020,3,54,1,6,1,26,157,1759,22
4/2/2020,2,56,0,6,0,26,141,1900,24
4/3/2020,5,61,0,6,0,26,180,2080,29
4/4/2020,9,70,2,8,4,30,434,2514,32
4/5/2020,18,88,1,9,3,33,367,2881,46
4/6/2020,35,123,3,12,0,33,468,3349,78
4/7/2020,41,164,5,17,0,33,792,4141,114
4/8/2020,54,218,3,20,0,33,981,5122,165
4/9/2020,112,330,1,21,0,33,905,6175,276
4/10/2020,94,426,6,27,0,33,1148,7359,364
4/11/2020,58,482,3,30,3,36,954,8313,416
4/12/2020,139,621,4,34,3,39,1340,9653,548
4/13/2020,182,803,5,39,3,42,1570,11223,722
4/14/2020,209,1012,7,46,0,42,1905,13128,924
4/15/2020,219,1231,4,50,7,49,1740,14868,1132
4/16/2020,341,1572,10,60,0,49,2019,16887,1463
4/17/2020,266,1838,15,75,9,58,2190,19077,1705
4/18/2020,306,2144,9,84,8,66,2114,21191,1994
4/19/2020,312,2456,7,91,9,75,2634,23825,2290
4/20/2020,492,2948,10,101,10,85,2779,26604,2762
4/21/2020,434,3382,9,110,2,87,2974,29578,3185
4/22/2020,390,3772,10,120,5,92,3096,32674,3562
4/23/2020,414,4186,7,127,16,108,3416,36090,3951
4/24/2020,503,4689,4,131,4,112,3686,39776,4446
4/25/2020,309,4998,9,140,1,113,3337,43113,4746
4/26/2020,418,5416,5,145,9,122,3476,46589,5149
4/27/2020,497,5913,7,152,9,131,3812,50401,5630
4/28/2020,549,6462,3,155,8,139,4332,54733,6168
4/29/2020,641,7103,8,163,11,150,4968,59701,6790
4/30/2020,564,7667,5,168,10,160,4965,64666,7339
5/1/2020,571,8238,2,170,14,174,5573,70239,7894
5/2/2020,552,8790,5,175,3,177,5827,76066,8438
5/3/2020,665,9455,2,177,886,1063,5368,81434,8215
5/4/2020,688,10143,5,182,147,1210,6260,87694,8751
5/5/2020,786,10929,1,183,193,1403,5711,93405,9343
,,,,,,,,,
